price,discount,ad_spend,targeting,creative,page_quality,region,sales
3000,5,23491,medium,urgency,4,low,1078
3500,10,4341,medium,normal,3,low,694
2000,0,14855,medium,offer,2,high,1563
3000,0,3338,medium,normal,3,low,739
3000,0,8895,high,offer,3,low,1056
3500,0,15254,high,normal,5,high,1219
2000,15,22092,high,offer,5,high,2690
2000,0,14344,high,offer,5,high,2432
3000,15,4750,medium,offer,2,high,1149
2500,15,24988,medium,offer,3,low,1123
3000,0,5421,medium,offer,1,high,950
3000,0,10119,low,offer,4,high,975
3000,5,8319,high,offer,5,high,1720
3000,10,18896,low,offer,5,low,861
3500,0,24771,high,offer,3,high,1216
2000,5,14918,medium,normal,3,high,1545
3500,5,23377,medium,urgency,2,high,1061
3500,10,16849,medium,offer,2,low,736
3500,15,7873,high,urgency,5,low,1301
3000,0,7806,medium,offer,3,low,846
2500,10,11592,medium,offer,1,low,938
2000,0,15182,low,normal,4,high,1268
2500,5,22541,medium,normal,3,low,935
3500,5,19774,low,urgency,3,high,915
3500,15,15045,high,normal,2,low,796
2500,5,7430,medium,normal,4,low,1000
2500,5,11820,medium,urgency,5,high,1858
2500,10,7232,low,normal,3,low,780
3500,0,14122,low,offer,5,high,893
3500,0,18023,high,urgency,3,high,1369
2000,10,11007,low,urgency,5,low,1457
2000,15,20905,low,offer,4,low,1198
3500,0,12018,low,normal,2,low,466
2500,5,4500,high,urgency,4,low,1628
2500,0,9737,high,urgency,1,low,1218
2000,5,6294,medium,offer,2,low,1223
3500,15,24469,low,offer,4,low,689
2000,10,21803,medium,normal,1,high,1367
2000,0,22426,high,urgency,3,high,2402
3000,10,7497,medium,normal,3,high,1082
3000,0,20850,low,normal,5,low,684
3000,5,22945,low,offer,2,low,657
2500,10,3614,low,urgency,3,high,1348
3500,0,24776,medium,urgency,2,high,1018
3500,5,12374,high,urgency,3,high,1442
3500,10,22607,low,offer,5,low,738
3500,10,5667,low,offer,4,high,917
3000,0,16409,low,offer,5,high,1034
2500,0,19514,high,offer,1,low,1077
2500,0,5983,low,offer,3,high,1084
3000,5,23662,high,urgency,1,high,1421
2500,0,15651,medium,normal,1,low,752
3000,10,11230,medium,urgency,2,low,979
3500,10,9640,low,normal,3,high,742
3000,0,14779,low,offer,1,high,759
3500,0,24852,medium,normal,4,low,669
3500,15,18317,high,urgency,1,low,951
2000,10,20304,medium,urgency,4,low,1709
3000,5,10564,medium,normal,2,high,961
2000,15,18520,low,offer,1,low,945
3000,0,16737,high,offer,5,high,1622
3000,0,12323,high,urgency,2,low,1102
2000,10,18229,low,normal,4,low,1053
2000,0,14713,high,offer,2,high,1953
3000,5,11502,medium,offer,1,high,1007
2500,10,22625,medium,urgency,3,high,1687
3500,0,3545,high,offer,3,high,1214
